model,asset,n_obs,ann_return_gross,ann_vol_gross,sharpe_gross,ann_return_net,ann_vol_net,sharpe_net,sortino_net,max_drawdown_net,calmar_net,hit_rate_net,avg_turnover,annual_cost_drag_bps
var1_cross_asset,btc,360,0.07392938419042527,0.1659143423879655,0.4455876636484664,0.06838898945933221,0.16589854168925222,0.4122338193148976,0.7183706762975491,-0.1283058674665728,0.5330152923610405,0.475,0.04397138675470694,55.40394731093074
naive_last_surface,btc,360,0.40831208809962066,0.4045572141456284,1.009281441098318,0.32663352523450595,0.40415560473846845,0.8081875431267926,1.6144986986398913,-0.23213250919220518,1.4070994466529207,0.45555555555555555,0.6482425624215464,816.7856286511485
prob_lstm_gaussian,btc,360,0.40831208809962066,0.4045572141456284,1.009281441098318,0.32663352523450595,0.40415560473846845,0.8081875431267926,1.6144986986398913,-0.23213250919220518,1.4070994466529207,0.45555555555555555,0.6482425624215464,816.7856286511485
har_rv,btc,360,0.0552112937636483,0.1700605096164866,0.3246567582806762,0.05224166950485458,0.1700724791517584,0.30717297569490065,0.516405726332829,-0.14536440146658958,0.3593842025818251,0.475,0.023568446498362643,29.696242587936933
har_j_rv,btc,360,0.07231188562247569,0.16957295199592748,0.42643525852054726,0.06674784246423247,0.16962017155675582,0.39351358893006594,0.665796533383073,-0.14357462436722257,0.46489999718551034,0.475,0.0441590726844696,55.640431582431695
prob_har_gaussian,btc,360,0.07231188562247569,0.16957295199592748,0.42643525852054726,0.06674784246423247,0.16962017155675582,0.39351358893006594,0.665796533383073,-0.14357462436722257,0.46489999718551034,0.475,0.0441590726844696,55.640431582431695
prob_har_student_t,btc,360,0.07231188562247569,0.16957295199592748,0.42643525852054726,0.06674784246423247,0.16962017155675582,0.39351358893006594,0.665796533383073,-0.14357462436722257,0.46489999718551034,0.475,0.0441590726844696,55.640431582431695
garch11_qml,btc,360,0.027047681887605736,0.17744381489984073,0.15242955581671286,0.024298041027732784,0.17745172986856333,0.1369276086839508,0.2367431051366201,-0.15769982181467257,0.15407779633567137,0.475,0.021822546506927828,27.496408598729065
var1_cross_asset,eurusd,360,0.12223880426418483,0.14624828229518022,0.8358307006810798,0.11407860579462606,0.14618129713652153,0.7803912540746293,1.2144519507009888,-0.13549828915935902,0.8419191600305643,0.5305555555555556,0.06476347991713302,81.60198469558762
naive_last_surface,eurusd,360,0.06484718403307041,0.30686624407317076,0.2113206821718974,-0.02147869692978106,0.30687904462481985,-0.06999075794191227,-0.08752211304472561,-0.33220121306008943,-0.06465568482405251,0.525,0.6851260393877097,863.2588096285142
prob_lstm_gaussian,eurusd,360,0.06484718403307041,0.30686624407317076,0.2113206821718974,-0.02147869692978106,0.30687904462481985,-0.06999075794191227,-0.08752211304472561,-0.33220121306008943,-0.06465568482405251,0.525,0.6851260393877097,863.2588096285142
har_rv,eurusd,360,0.041326419732466424,0.14692351487110594,0.2812784581741156,0.0378216942808618,0.1469197272656899,0.25743101341636027,0.34623908377890733,-0.14572655801155776,0.25953878824107074,0.5305555555555556,0.027815281361941384,35.047254516046145
har_j_rv,eurusd,360,0.039428104698596776,0.14722086424034295,0.26781601169131225,0.03580316379002242,0.14722226876344013,0.24319122433544144,0.32632025657317565,-0.14855329494148384,0.24101224953728245,0.5305555555555556,0.028769372290272398,36.24940908574322
prob_har_gaussian,eurusd,360,0.039428104698596776,0.14722086424034295,0.26781601169131225,0.03580316379002242,0.14722226876344013,0.24319122433544144,0.32632025657317565,-0.14855329494148384,0.24101224953728245,0.5305555555555556,0.028769372290272398,36.24940908574322
prob_har_student_t,eurusd,360,0.039428104698596776,0.14722086424034295,0.26781601169131225,0.03580316379002242,0.14722226876344013,0.24319122433544144,0.32632025657317565,-0.14855329494148384,0.24101224953728245,0.5305555555555556,0.028769372290272398,36.24940908574322
garch11_qml,eurusd,360,0.058349800748882366,0.15486391914596268,0.37678111900220207,0.05382745781626156,0.15487193684893089,0.3475610811839159,0.4667672263608746,-0.13904740489801537,0.38711587501932476,0.5277777777777778,0.03589161057635622,45.22342932620884
var1_cross_asset,portfolio_equal_weight,360,0.06222416281156102,0.10846386851990583,0.573685630622158,0.06222416281156102,0.10846386851990583,0.573685630622158,0.862661351784529,-0.08508820806396611,0.7312900838713543,0.49722222222222223,0.0,0.0
naive_last_surface,portfolio_equal_weight,360,0.07241111646770056,0.2285186610373606,0.3168717869209904,0.07241111646770056,0.2285186610373606,0.3168717869209904,0.5788156048087917,-0.1895918306305372,0.3819316276807838,0.4666666666666667,0.0,0.0
prob_lstm_gaussian,portfolio_equal_weight,360,0.07241111646770056,0.2285186610373606,0.3168717869209904,0.07241111646770056,0.2285186610373606,0.3168717869209904,0.5788156048087917,-0.1895918306305372,0.3819316276807838,0.4666666666666667,0.0,0.0
har_rv,portfolio_equal_weight,360,0.010315250822415826,0.10778923172123107,0.09569834256814772,0.010315250822415826,0.10778923172123107,0.09569834256814772,0.1315644708729481,-0.08292708043815689,0.12438941257685365,0.5,0.0,0.0
har_j_rv,portfolio_equal_weight,360,0.007738367707014537,0.10771118128356252,0.07184368061698591,0.007738367707014537,0.10771118128356252,0.07184368061698591,0.09928479976413308,-0.09163712120354883,0.08444577487136133,0.5027777777777778,0.0,0.0
prob_har_gaussian,portfolio_equal_weight,360,0.007738367707014537,0.10771118128356252,0.07184368061698591,0.007738367707014537,0.10771118128356252,0.07184368061698591,0.09928479976413308,-0.09163712120354883,0.08444577487136133,0.5027777777777778,0.0,0.0
prob_har_student_t,portfolio_equal_weight,360,0.007738367707014537,0.10771118128356252,0.07184368061698591,0.007738367707014537,0.10771118128356252,0.07184368061698591,0.09928479976413308,-0.09163712120354883,0.08444577487136133,0.5027777777777778,0.0,0.0
garch11_qml,portfolio_equal_weight,360,0.004081028813496283,0.11111195077940242,0.036728981760014344,0.004081028813496283,0.11111195077940242,0.036728981760014344,0.052126812379188474,-0.08799827060570686,0.04637623882157998,0.5027777777777778,0.0,0.0
var1_cross_asset,spx,360,0.012230606872275942,0.17419860786408384,0.07021070387553678,0.004204893180724761,0.17421351644950447,0.024136434798063117,0.031199090414076983,-0.20469838704686727,0.020541896989945595,0.5111111111111111,0.06369614040913632,80.25713691551178
naive_last_surface,spx,360,-0.0045781277529883145,0.33188318114636817,-0.013794395175961791,-0.08792147890162318,0.33216535669954944,-0.2646918985628896,-0.3731286884245614,-0.33825342043062345,-0.2599278339586105,0.49722222222222223,0.6614551678463088,833.4335114863491
prob_lstm_gaussian,spx,360,-0.0045781277529883145,0.33188318114636817,-0.013794395175961791,-0.08792147890162318,0.33216535669954944,-0.2646918985628896,-0.3731286884245614,-0.33825342043062345,-0.2599278339586105,0.49722222222222223,0.6614551678463088,833.4335114863491
